CNPJ,Endereço Completo,Latitude,Longitude,Região
,"Rua FREI CANECA, 569, CONSOLACAO, São Paulo, São Paulo",-23.5541784,-46.6524183,
,"Rua FERNÃO DIAS, 579, Pinheiros, São Paulo, São Paulo",-23.5663331,-46.6954353,
,"Rua Presidente Wenceslau Brás, 335, São Vicente, Mauá, São Paulo",-23.66778,-46.46139,
,"Rua SOLDADO CONSTITUCIONALISTA, 54, Jardim Soares, Itapira, São Paulo",-22.43611,-46.82167,
,"Avenida DR. FRANCISCO RANIERI, 834, Lauzane Pta., São Paulo, São Paulo",-23.476523,-46.6450418,
,"Avenida TUCURUVI, 248, Tucuruvi, São Paulo, São Paulo",-23.4787794,-46.6088101,
,"Avenida CORONEL SEZEFREDO FAGUNDES, 4800, Tucuruvi, São Paulo, São Paulo",-23.4704114,-46.6055149,
,"Rua JOAO PUGA BERTINI, 12, Terra Preta, Mairiporã, São Paulo",-23.24389,-46.55222,
,"Rua HUMBERTO I, 545, Vila Mariana, São Paulo, São Paulo",-23.5848574,-46.6421213,
,"Rua Mourato Coelho, 1458, Pinheiros, São Paulo, São Paulo",-23.5554328,-46.6928898,
,"Rua PEDRO BASSI, 499, Santo Antonio, Louveira, São Paulo",-23.0862536,-46.9806053,
,"Rua GUILHERME BRIVIGLIERI, 203, PQ. VITORIA REGIA, Sorocaba, São Paulo",-23.4261102,-47.4508263,
,"Avenida ARMANDO FERRENTINI, 406, Aclimação, São Paulo, São Paulo",-23.5746722,-46.6351096,
,"Rua Professor Atilio Innocenti, 29, Vila Nova Conceição, São Paulo, São Paulo",-23.70114,-48.10404,
,"Avenida JARDIM JAPAO, 1284, Jardim Brasil, São Paulo, São Paulo",-23.4793728,-46.5819262,
,"Estrada Municipal do jacu, S/N, Jacú, Itu, São Paulo",-23.2998852,-47.3781323,
,"Estrada Municipal do jacu, S/N, Jacú, Itu, São Paulo",-23.2998852,-47.3781323,
,"Avenida JOSÉ HERCULANO, 7040, Porto Novo, Caraguatatuba, São Paulo",-23.6946544,-45.4422191,
,"Avenida JOSÉ HERCULANO, 7040, Porto Novo, Caraguatatuba, São Paulo",-23.6946544,-45.4422191,
,"Avenida SENADOR FLAQUER, 862, Vila Euclides, São Bernardo do Campo, São Paulo",-23.6927638,-46.5586558,
,"Avenida DOUTOR ERMELINDO MAFFEI, 1199, SAO LUIZ, Itu, São Paulo",-23.2642243,-47.280937,
,"Avenida TENENTE MARQUES, 4131, IPES (POLVILHO), Cajamar, São Paulo",-23.4087947,-46.8495441,
,"Rua Estado da Bahia, 261, São Pedro São Paulo, Salto, São Paulo",-23.2053331,-47.3080198,
,"Avenida DOS COSTAS, 1801, JARDIM RESIDENCIAL DAS PALMEIR, Rio Claro, São Paulo",-22.4357046,-47.5822843,
,"Avenida 24A, 303, VILA ALEMA, Rio Claro, São Paulo",-22.41139,-47.56139,
,"Rua VEREADOR GUMERCINDO FERNANDES PEREIRA, 1030, JARDIM PARQUE INDUSTRIAL, Santa Gertrudes, São Paulo",-22.4466094,-47.5455028,
,"Rua PRESIDENTE ARTHUR DA COSTA E SILVA, 453, Parque São Vicente, Mauá, São Paulo",-22.7321,-43.36924,
