Endereço Completo,Latitude,Longitude,Região
"Rua Santa Cruz (Jd.Santa Rosa), 500, Santa Rosa, Vinhedo, São Paulo",-23.02972,-46.97528,Vinhedo
"Rodovia Presidente Castelo Branco Km 33, Sn, Itaqui, Itapevi, São Paulo",-23.54889,-46.93417,Itapevi
"Avenida Paulista, 854, Bela Vista, São Paulo, São Paulo",-23.5658304,-46.6508381,São Paulo
"Avenida Das Letras, 659, Lot. Villa Branca, Jacareí, São Paulo",-23.2639515,-45.9453678,Jacareí
"Avenida Samuel Martins, 1979, Jardim Do Lago, Jundiaí, São Paulo",-23.2082009,-46.8664534,Jundiaí
"Avenida 68, 356, Jd Cidade Azul, Rio Claro, São Paulo",-22.3869334,-47.5792418,Rio Claro
"Avenida Maria Cavalcante Da Silva, 538, Jardim Samambaia, Praia Grande, São Paulo",-24.00583,-46.40278,Praia Grande
"Rua Duque De Caxias, 21, Campo Grande, Santos, São Paulo",-23.9599623,-46.3415268,Santos
"Avenida Nove De Julho, 3333, Anhangabau, Jundiaí, São Paulo",-23.1994672,-46.8896937,Jundiaí
"Rua Iolanda Latorre Cascaldi, 40, Loteamento Parque Dos Canarios, Itatiba, São Paulo",-23.00583,-46.83889,Itatiba
"Rua Doutor Eugenio Da Fonseca, 383, Jardim Aeroporto I, Itu, São Paulo",-23.26417,-47.29917,Itu
"Rua Fernando Silva, 110, Jd Astro, Sorocaba, São Paulo",-23.50167,-47.45806,Sorocaba
"Avenida Benedito Storani, 762, Residencial Aquario, Vinhedo, São Paulo",-23.02972,-46.97528,Vinhedo
"Rua A Esquina Com Alameda Alice, 127, Jardim Convenção, Itu, São Paulo",-23.26417,-47.29917,Itu
"Rua Paes De Linhares, 311, Vila Fiori, Sorocaba, São Paulo",-23.50167,-47.45806,Sorocaba
"Rua Das Gardenias, 223, Parque Cecap, Valinhos, São Paulo",-22.949446,-46.9813763,Valinhos
"Avenida Moreira Cesar, 308, Vila Grandino, Sorocaba, São Paulo",-23.5049803,-47.4635694,Sorocaba
"Avenida Eid Mansur, 18, Parque São George, Cotia, São Paulo",-23.5959976,-46.8511558,Cotia
"Rua Gomes De Carvalho, 1614, Vila Olímpia, São Paulo, São Paulo",-23.5950063,-46.6896149,São Paulo
"Rua Estado Da Bahia, 261, São Pedro São Paulo, Salto, São Paulo",-23.2053331,-47.3080198,Salto
"Praça Da Independencia, 218, Centro, Itu, São Paulo",-23.2657287,-47.2974244,Itu
"Rua Cachoeira Dourada, 130, Jardim Maria Estela, São Paulo, São Paulo",-23.5475,-46.63611,São Paulo
"Rua Pedro Gutierrez, 228, Jd.Primavera, Várzea Paulista, São Paulo",-23.2104667,-46.8400222,Várzea Paulista
"Avenida Capitão Julio Franco, 390, Rocio, Iguape, São Paulo",-24.70806,-47.55528,Iguape
"Rua Do Cruzeiro, 37, Centro, Tatuí, São Paulo",-23.3511231,-47.8440633,Tatuí
"Rua Jose Do Carmo Leite, 104, Centro, Caieiras, São Paulo",-23.36417,-46.74056,Caieiras
"Rua Otelo Zeloni, 32, Parque Belem, São Paulo, São Paulo",-23.565879,-46.8650012,Carapicuíba
"Rua Aparecida Do Taboado, 208, Jardim Paulistano, São Paulo, São Paulo",-23.5475,-46.63611,São Paulo
"Avenida Fernando Costa, 2143, Parafuso, Cajati, São Paulo",-24.7285814,-48.1171308,Cajati
"Rua Indiara, 375, Jd.Ana Maria, Cajati, São Paulo",-24.7404227,-48.121226,Cajati
"Avenida Mazzei, 1160, Vila Mazzei, São Paulo, São Paulo",-23.4723641,-46.5997586,São Paulo
"Avenida Ipanema, 1338, Jd. Novo Horizonte, Sorocaba, São Paulo",-23.50167,-47.45806,Sorocaba
"Rua Alencar Araripe, 1435, Sacoma, São Paulo, São Paulo",-23.6130408,-46.5972138,São Paulo
"Rua Jose Carlos Ferrari, 79, Residencial Santa Maria, Valinhos, São Paulo",-22.9430217,-46.9981697,Valinhos
"Rua Da Padroeira, 298, Centro, Jundiaí, São Paulo",-23.18639,-46.88417,Jundiaí
"Avenida Saburo Akamine, 1125, Jardim Matheus Maniero, Rio Claro, São Paulo",-22.3980124,-47.5936443,Rio Claro
"Rodovia Constante Peruchi, 677, Bairro Do Cascalho, Cordeirópolis, São Paulo",-22.48194,-47.45667,Cordeirópolis
"Rua Martim Afonso, 210, Jardim Piratininga, Osasco, São Paulo",-23.5198227,-46.7936859,Osasco
"Avenida Yojiro Takaoka, 4492, Alphaville, Santana De Parnaíba, São Paulo",-23.4678426,-46.8707308,Santana de Parnaíba
"Avenida Vereador Jose Donato, 1385, Vilarejo, Cabreúva, São Paulo",-23.275325,-47.0495177,Cabreúva
"Avenida Drº Epitacio Pessoa, 241, Embaré, Santos, São Paulo",-23.96083,-46.33361,Santos
"Avenida Goncalo Monteiro, 625, Cibratel Ii, Itanhaém, São Paulo",-24.2026378,-46.835336,Itanhaém
"Rua Sao Paulo, 120, Nova Vinhedo, Vinhedo, São Paulo",-23.021575,-46.9864998,Vinhedo
"Rodovia Dom Pedro I - Sp 065, S/N, Centro, Jarinu, São Paulo",-23.10139,-46.72833,Jarinu
"Rodovia Fernao Dias Km 41,50, S/N, Jardim Do Alvinopolis, Atibaia, São Paulo",-23.11694,-46.55028,Atibaia
"Avenida Dr Alipio Ferreira, 490, Catigua, Piracaia, São Paulo",-23.05389,-46.35806,Piracaia
"Rua Sao Judas Tadeu, S/N, Capoavinha, Mairiporã, São Paulo",-23.31861,-46.58667,Mairiporã
"Rua Brasil, 171, Atibaia Jardim, Atibaia, São Paulo",-23.1209541,-46.5575287,Atibaia
"Rua Frei Caneca, 569, Consolacao, São Paulo, São Paulo",-23.5541787,-46.6524022,São Paulo
"Rua Thomaz Jasso, 480, Jd.Dona Irma, Jaguariúna, São Paulo",-22.70556,-46.98583,Jaguariúna
"Rua Vereador Gumercindo Fernandes Pereira, 1030, Jardim Parque Industrial, Santa Gertrudes, São Paulo",-22.4466094,-47.5455028,Santa Gertrudes
"Rua Dr Lucio Malta, 315, Centro, Jacareí, São Paulo",-23.3038095,-45.9691587,Jacareí
"Avenida Ivo Mario Isaac Pires, 10/1,  Das Pedras, Cotia, São Paulo",-23.6277066,-46.9854168,Cotia
